Title,URL
"Minor Irrigation Department, Manipur",
"Agriculture Department, Manipur",
Department of States,https://igod.gov.in/organization/Y9e83XQBYNG-XPnvjOsx
"General Administration Department, Arunachal Pradesh",
"Accounts and Treasuries Department, Puducherry",
"Technical Education Department, Goa",
"Ladakh State Centre, National Informatics Centre (NIC)",
"Ladakh Tourism, Jammu and Kashmir",
"District Council Affairs Department, Mizoram",
"Political and Cabinet Department, Mizoram",https://polcab.mizoram.gov.in
"Soil and Water Conservation Department, Mizoram",
"School Education Department, Mizoram",https://schooleducation.mizoram.gov.in
"Removal of Grievance and Welfare of Pensioners Department, Punjab",
Official Portal of Union Territory of Lakshadweep,
"Employment Department, Rajasthan",
"District Rural Development Agency (DRDA), Kokrajhar, Assam",
Rajasthan Cooperative Dairy Federation (RCDF),
"Adi Dravidar Welfare Department, Puducherry",
"Prisons Department, Puducherry",
"Housing Department, Puducherry",
Rajasthan Atomic Power Station / Project,
Sikkim Budget 2006-2007,
"District Institute of Education and Training, Gangtok, Sikkim",
Tamil Nadu Schools,
"Office of the Chief Electoral Officer, Tamil Nadu",
Uttar Pradesh Industrial Consultants Limited (UPICO),
"Political and Cabinet Affairs Department, Arunachal Pradesh",
"Youth Affairs and Sports Department, Arunachal Pradesh",
"Home Department, Tripura",
"Civil Defence Department, Uttar Pradesh",
Department of Border Management,https://igod.gov.in/organization/Xte83XQBYNG-XPnvjOsx
"Law , Legislative and Justice Department, Arunachal Pradesh",
"Weights and Measures Department, Chandigarh",
"Arts and Culture Department, Chandigarh",
"Finance Department, Chandigarh",
"Jawahar Navodaya Vidyalaya (JNV), Rewari, Haryana",https://www.navodaya.gov.in/nvs/nvs-school/REWARI/en/home
"Jawahar Navodaya Vidyalaya, Valpoi, North Goa",https://navodaya.gov.in/nvs/nvs-school/NORTHGOA/en/home
"G20 India Secretariat, New Delhi",https://dea.gov.in/g20india/g20-india
District Courts of Himachal Pradesh,https://districts.ecourts.gov.in/hp
Recruitment Portal of Madras High Court,https://www.mhc.tn.gov.in
"Administrative Tribunal, Maharashtra",https://mat.maharashtra.gov.in
"Administrative Tribunal, Kerala",https://keralaadministrativetribunal.gov.in
Directorate of Municipal Administration,https://goaulbservice.gov.in
Imphal Municipal Corporation,https://imc.mn.gov.in
National Authority for Chemical Weapons Convention (NACWC),https://nacwc.gov.in
"Direct Benefit Transfer (DBT), Government of India",https://dbtbharat.gov.in
"Prime Minister's National Relief Fund, (PMNRF)",https://pmnrf.gov.in
Prime Minister's Citizen Assistance and Relief in Emergency Situations Fund,https://www.pmcares.gov.in/en
"Principal Accountant General (A&E) - I, Maharashtra",https://cag.gov.in/ae/mumbai/en
"Accountant General (Audit), Meghalaya",https://cag.gov.in/ag/meghalaya/en
"Principal Accountant General (A&E), Nagaland",https://cag.gov.in/ae/nagaland/en
System Automation Initiative (SAI) - Training,https://training.cag.gov.in/Login.aspx
"District Courts, Delhi",https://delhidistrictcourts.nic.in
"Accountant General, Arunachal Pradesh",https://cag.gov.in/ae/arunachal-pradesh/en
"Accountants General, West Bengal",https://cag.gov.in/ae/west-bengal/en
"Accountant General, Bihar",https://cag.gov.in/ae/bihar/en
"National Sports University, Imphal, Manipur",https://nsu.ac.in
Insurance Information Bureau of India (IIB),https://iib.gov.in
Women Entrepreneurship Platform (WEP) by NITI Aayog,https://wep.gov.in
"Accountants General, Assam",https://cag.gov.in/ae/assam/en
"Accountant General, Punjab and Chandigarh (UT)",https://cag.gov.in/ag/punjab/en
"Principal Accountant General, Delhi",https://cag.gov.in/ag/new-delhi/en
"Development Monitoring and Evaluation Office (DMEO), NITI Aayog",https://dmeo.gov.in
"Coimbatore City Municipal Corporation, Tamil Nadu",https://www.ccmc.gov.in
"Kolkata Municipal Corporation, West Bengal",https://www.kmcgov.in
"Lok Ayukta, Kerala",https://lokayuktakerala.gov.in
"Office of the Advocate General, Madhya Pradesh",https://mpag.mp.gov.in
Maharashtra State Legal Services Aurhority,https://legalservices.maharashtra.gov.in
"Accountant General, Tripura",https://cag.gov.in/ag/tripura/en
"Accountant General, Goa",https://cag.gov.in/ag/goa/en
"Accountant General, Sikkim",https://cag.gov.in/ae/sikkim/en
"Chief Electoral Officer (CEO), Andhra Pradesh",https://ceoandhra.nic.in
"Accountant General, Jammu and Kashmir",https://cag.gov.in/ae/jammu-and-kashmir/en
"Accountants General, Uttar Pradesh",https://cag.gov.in/ae/allahabad/en
"Accountant General, Rajasthan",https://cag.gov.in/ae/rajasthan/en
"Accountant General, Karnataka",https://cag.gov.in/ae/karnataka/en
"Accountant General, Haryana",https://cag.gov.in/ae/haryana/en
"Accountants General, Manipur",https://cag.gov.in/ae/manipur/en
Swayam Prabha - Free DTH Channels for Education,https://swayamprabha.gov.in
"Accountant General, Jharkhand",https://cag.gov.in/ae/jharkhand/en
"Accountant General, Kerala",https://cag.gov.in/ae/kerala/en
National Insurance Company Limited (NICL),https://nationalinsuranceindia.nic.co.in
Public Private Partnerships (PPP) in India,https://www.pppinindia.gov.in
"Accountant General, Gujarat",https://cag.gov.in/ae/gujarat/en
"Office of The Principal Accountant General (A & E), Andhra Pradesh & Telangana",https://cag.gov.in/ae/andhra-pradesh/en
"Panchayat and Rural Development Department, Assam",https://pnrd.assam.gov.in
"Social Welfare Department, Assam",https://socialwelfare.assam.gov.in
"Vazhathope Grama Panchayath, Idukki District, Kerala",https://vazhathopepanchayat.gov.in
"Nashik Zilla Parishad, Maharashtra",https://zpnashik.maharashtra.gov.in
"Jilha Parishad, Thane, Maharashtra",https://zpthane.maharashtra.gov.in
"Aizawl Municipal Corporation, Mizoram",https://amcmizoram.com
"Guwahati Municipal Corporation, Government of Assam",https://gmc.assam.gov.in
"Municipal Corporation, Gurugram, Haryana",https://www.mcg.gov.in
"MoE’s Innovation Cell, A GoI Initiative",https://www.mic.gov.in
Atal Ranking of Institutions on Innovation Achievements (ARIIA),https://ariia.gov.in
Mobile Seva - The National Mobile Governance Initiative,https://mgov.gov.in
"DigiLocker - Dedicated personal storage space, linked to residentas Aadhaar number",https://digitallocker.gov.in
Kerala Water Authority,https://kwa.kerala.gov.in
"Minicoy Island, U.T of Lakshadweep",https://minicoy.utl.gov.in
"Mid Day Meal Scheme, U.T. Administration of Lakshadweep",https://mdmlakshadweep.utl.gov.in
"District Institute of Education and Training (DIET), Kavaratti, Lakshadweep",https://diet.utl.gov.in
"Public Distribution System Portal, UT of Lakshadweep",https://pds.utl.gov.in
"Land Records Information System, U.T. Administration of Lakshadweep",https://land.utl.gov.in
"Online Seat Allotment, Department of Education, Lakshadweep",https://ecounselling.utl.gov.in
"eProcurement Portal, U.T Administration of Lakshadweep",https://tendersutl.gov.in
"National Health Mission (NHM), Lakshadweep",https://nhm.utl.gov.in
Lakshadweep Information Technology Services Society (LITSS),https://litss.utl.gov.in
"Integrated Financial Management System (IFMS) - Mahakosh, Maharashtra",https://www.mahakosh.gov.in
"State Water Transport Department, Kerala",https://swtd.kerala.gov.in
Kerala Online Mining Permit Awarding Services (KOMPAS),https://www.portal.dmg.kerala.gov.in
"Farm Information Bureau, Government of Kerala",https://www.fibkerala.gov.in
"Government Ayurveda College, Thiruvananthapuram, Kerala",https://www.govtayurvedacollegetvm.nic.in
Assam State Warehousing Corporation,https://warehouse.assam.gov.in
Pawan Hans Limited (PHL),https://www.pawanhans.co.in
"Aircraft Accident Investigation Bureau (AAIB), India",https://aaib.gov.in
Tenders Kerala - e-Procurement System of Government of Kerala,https://etenders.kerala.gov.in
Kerala Startup Mission (KSUM),https://startupmission.kerala.gov.in
National War Memorial of India,https://nationalwarmemorial.gov.in
"Non - Lapsable Central Pool of Resource (NLCPR), Development of North Eastern Region",https://nlcpr.mdoner.gov.in
"eProcurement Portal, Government of Maharashtra",https://mahatenders.gov.in
COVID-19 (Novel Corona Virus) updates & advisories by Government of Maharashtra,https://arogya.maharashtra.gov.in/1175/Novel--Corona-Virus
"Commissioner for Cooperation & Registrar of Cooperative Societies, Maharashtr",https://sahakarayukta.maharashtra.gov.in
"Directorate General of Information and Public Relations (DGIPR), Maharashtra",https://dgipr.maharashtra.gov.in
"Aadhaar enabled Public Distribution System (AePDS), Maharashtra",https://mahaepos.gov.in
"Social Justice and Special Assistance Department, Maharashtra",https://sjsa.maharashtra.gov.in/en
"Invest in Meghalaya, Government of Meghalaya",https://investmeghalaya.gov.in
National Corporate Social Responsibility (CSR) Data Portal by Ministry of Corporate Affairs,https://csr.gov.in
"Indian Culture Portal, National Virtual Library of India, Ministry of Culture",https://indianculture.gov.in
eProcurement Portal of Ministry of Defence,https://defproc.gov.in
"eProcurement Portal, Government of Nagaland",https://nagalandtenders.gov.in
"Zoram Energy Development Agency (ZEDA), Mizoram",https://zeda.mizoram.gov.in
"Zoram Industrial Development Corporation Limited (ZIDCO), Mizoram",https://zidco.mizoram.gov.in
"eProcurement Portal, Government of Manipur",https://manipurtenders.gov.in
Manipur State Legal Services Authority (MASLSA),https://maslsa.nic.in
"Rashtriya Madhyamik Shiksha Abhiyan(RMSA), Mizoram",https://rmsa.mizoram.gov.in
"COVID-19 Dashboard, Advisories & Updates by Government of Mizoram",https://mcovid19.mizoram.gov.in
"eProcurement Portal, Government of Meghalaya",https://meghalayatenders.gov.in
"Hill College, Tadubi, Senapati District, Manipur",https://hillcollegetadubi.nic.in
"Forensic Science Laboratory, Mizoram",https://forensic.mizoram.gov.in
"Civil Sub-Division, Vairengte, Mizoram",https://vairengte.mizoram.gov.in
Open Government Data Portal of Sikkim,https://sikkim.data.gov.in
"Ujwal DISCOM Assurance Yojana (UDAY), Ministry of Power",https://www.uday.gov.in
"Directorate of Libraries, Maharashtra",https://dol.maharashtra.gov.in
"National Health Mission, Maharashtra",https://www.nrhm.maharashtra.gov.in
"Grievances Redressal portal, Maharashtra",https://grievances.maharashtra.gov.in
"Rajiv Gandhi Science & Technology Commission, Maharashtra",https://rgstc.maharashtra.gov.in
"Online Document Search - Department of Registration & Stamps, Maharashtra",https://esearchigr.maharashtra.gov.in
"Online WHO-GMP System, Food & Drug Administration, Maharashtra",https://fdawhogmp.maharashtra.gov.in
"Sanjay Gandhi National Park, Maharashtra",https://sgnp.maharashtra.gov.in
"Aaple Sarkar, Maharashtra state Application for Grievances Information and Collaboration",https://aaplesarkar.maharashtra.gov.in
"Budget Estimation, Allocation and Monitoring System (BEAMS), Maharashtra",https://beams.mahakosh.gov.in
"Sevaarth Mahakosh, Maharashtra",https://sevaarth.mahakosh.gov.in
Maharashtra State Road Transport Corporation,https://msrtc.gov.in
"New Land Use Policy, Mizoram",https://nlup.mizoram.gov.in
"Geology & Mineral Resources Department, Mizoram",https://dgmr.mizoram.gov.in
"Mumbai Traffic Police, Maharshtra",https://trafficpolicemumbai.maharashtra.gov.in
Maharashtra State Data Bank,https://mahasdb.maharashtra.gov.in
"eProcurement Portal, Government of Mizoram",https://mizoramtenders.gov.in
"East Lungdar Rural Development Block, Mizoram",https://bdoeld.mizoram.gov.in
"Government Aizawl North College, Mizoram",https://ganc.mizoram.gov.in
Mizoram State Load Despatch Centre (SLDC),https://sldc.mizoram.gov.in
"Government Polytechnic, Nashik",https://gpnashik.ac.in
"RTI Online, Maharashtra",https://rtionline.maharashtra.gov.in
Director of School Education,https://schooledn.py.gov.in
"Chattrapati Shivaji Memorial , Maharashtra",https://chattrapatishivajimemorial.maharashtra.gov.in
"eProcurement Portal, Government of Puducherry",https://pudutenders.gov.in
COVID-19 Dashboard of Government of Puducherry,https://covid19dashboard.py.gov.in
"eProcurement portal, Rajasthan",https://eproc.rajasthan.gov.in
Parivahan Sewa by Ministry of Road Transport & Highways,https://parivahan.gov.in/parivahan
VAHAN - The Integrated Solution for Vehicle Registration,https://vahan.parivahan.gov.in/vahanservice/vahan/ui/statevalidation/homepage.xhtml
"NGDRS - National Generic Document Registration System, Department of Revenue, Government of Punjab",https://igrpunjab.gov.in
Punjab Municipal Infrastructure Development Company (PMIDC),https://pmidc.punjab.gov.in
"Directorate of Accounts and Treasuries, Puducherry",https://dat.py.gov.in
ePOST - send messages to any address in India by India Post,https://epost-indiapost.gov.in
Tarang Sanchar Portal by Department of Telecommunications (DoT),https://tarangsanchar.gov.in
"Saral Sanchar Portal for various types of Licenses and Registration Certificates, Department of Telecommunications",https://saralsanchar.gov.in
Tata Memorial Centre (Hospital) (TMC),https://tmc.gov.in
National Atmospheric Research Laboratory (NARL),https://www.narl.gov.in
Pradhan Mantri Kisaan Maan-dhan Yojana (PM-KMY),https://pmkmy.gov.in
"Animal Husbandry and Veterinary Department, Assam",https://animalhusbandry.assam.gov.in
Pradhan Mantri Fasal Bima Yojana: Crop Insurance Portal,https://pmfby.gov.in
Agri-Clinics and Agri-Business Centres Scheme by Ministry of Agriculture & Farmers Welfare,https://acabcmis.gov.in
"e-Urvarak - Dashboards of Fertilizer Requirement, Sales and Stock at National, State and District levels",https://urvarak.nic.in
"Central Institute of Horticulture, Nagaland",https://www.cihner.gov.in
"India Investment Grid, Ministry of Commerce and Industry",https://indiainvestmentgrid.gov.in
National Agriculture Market (NAM) Portal,https://www.enam.gov.in
Indian Trade Portal by Department of Commerce,https://www.indiantradeportal.in
"Irrigation Department, Assam",https://irrigation.assam.gov.in
"Power (Electricity) Department, Assam",https://power.assam.gov.in
